iter	Passed	Remaining
270	10994	29576
271	11028	29516
272	11061	29457
273	11094	29395
274	11127	29335
275	11159	29274
276	11192	29212
277	11223	29148
278	11256	29090
279	11290	29031
280	11322	28971
281	11355	28912
282	11388	28854
283	11423	28800
284	11457	28743
285	11496	28699
286	11536	28660
287	11578	28625
288	11622	28594
289	11664	28558
290	11706	28521
291	11748	28486
292	11781	28428
293	11823	28391
294	11857	28336
295	11893	28286
296	11926	28230
297	11960	28176
298	12004	28143
299	12044	28104
300	12086	28067
301	12124	28023
302	12161	27974
303	12196	27923
304	12230	27870
305	12267	27822
306	12301	27768
307	12337	27718
308	12373	27669
309	12407	27617
310	12442	27566
311	12478	27515
312	12517	27474
313	12550	27419
314	12584	27367
315	12622	27321
316	12656	27269
317	12692	27220
318	12737	27191
319	12787	27172
320	12837	27155
321	12887	27134
322	12930	27102
323	12970	27062
324	13005	27012
325	13039	26959
326	13074	26909
327	13112	26864
328	13148	26815
329	13185	26770
330	13221	26723
331	13257	26675
332	13294	26629
333	13328	26577
334	13365	26530
335	13396	26474
336	13430	26421
337	13462	26367
338	13495	26315
339	13532	26269
340	13564	26214
341	13599	26165
342	13636	26120
343	13670	26069
344	13703	26017
345	13739	25969
346	13775	25922
347	13810	25874
348	13844	25825
349	13878	25773
350	13910	25720
351	13950	25682
352	13990	25641
353	14034	25611
354	14078	25578
355	14122	25547
356	14159	25502
357	14193	25453
358	14227	25402
359	14260	25352
360	14294	25303
361	14327	25250
362	14359	25197
363	14394	25151
364	14428	25101
365	14463	25053
366	14496	25003
367	14531	24957
368	14565	24908
369	14597	24854
370	14629	24802
371	14662	24752
372	14694	24700
373	14727	24650
374	14761	24602
375	14794	24552
376	14828	24504
377	14860	24452
378	14893	24402
379	14928	24356
380	14962	24309
381	14995	24259
382	15029	24212
383	15064	24166
384	15098	24119
385	15131	24068
386	15166	24023
387	15208	23988
388	15254	23959
389	15295	23924
390	15338	23889
391	15376	23849
392	15412	23804
393	15445	23755
394	15478	23707
395	15511	23658
396	15546	23613
397	15579	23565
398	15613	23517
399	15646	23470
400	15682	23425
401	15719	23384
402	15756	23340
403	15790	23294
404	15822	23245
405	15857	23200
406	15891	23153
407	15924	23106
408	15959	23061
409	15993	23015
410	16028	22970
411	16065	22927
412	16098	22880
413	16133	22836
414	16165	22787
415	16199	22742
416	16233	22696
417	16266	22648
418	16299	22601
419	16337	22561
420	16372	22516
421	16407	22473
422	16448	22437
423	16492	22404
424	16539	22377
425	16586	22349
426	16622	22306
427	16659	22264
428	16693	22219
429	16728	22174
430	16761	22128
431	16792	22079
432	16825	22032
433	16859	21987
434	16893	21942
435	16927	21896
436	16966	21859
437	17001	21814
438	17034	21768
439	17068	21724
440	17102	21678
441	17135	21632
442	17167	21585
443	17199	21538
444	17234	21495
445	17269	21451
446	17302	21405
447	17335	21360
448	17370	21316
449	17402	21269
450	17436	21225
451	17470	21180
452	17502	21134
453	17538	21092
454	17571	21047
455	17607	21005
456	17650	20971
457	17700	20946
458	17750	20921
459	17792	20886
460	17842	20861
461	17883	20825
462	17922	20786
463	17958	20745
464	17992	20701
465	18026	20657
466	18061	20614
467	18095	20570
468	18131	20528
469	18162	20481
470	18195	20436
471	18227	20390
472	18258	20343
473	18290	20296
474	18324	20253
475	18358	20210
476	18391	20165
477	18424	20120
478	18456	20075
479	18493	20034
480	18527	19990
481	18563	19950
482	18599	19909
483	18637	19869
484	18673	19828
485	18710	19788
486	18746	19747
487	18781	19705
488	18818	19665
489	18872	19642
490	18910	19603
491	18956	19573
492	19002	19541
493	19049	19512
494	19089	19475
495	19129	19437
496	19164	19395
497	19197	19351
498	19231	19308
499	19264	19264
500	19298	19221
501	19334	19180
502	19369	19138
503	19406	19098
504	19439	19055
505	19474	19012
506	19514	18975
507	19550	18934
508	19590	18898
509	19635	18865
510	19674	18827
511	19713	18789
512	19751	18750
513	19787	18709
514	19823	18668
515	19858	18626
516	19890	18582
517	19929	18544
518	19963	18501
519	19995	18457
520	20029	18415
521	20064	18373
522	20101	18333
523	20139	18294
524	20183	18261
525	20226	18226
526	20268	18191
527	20308	18154
528	20345	18114
529	20380	18072
530	20412	18029
531	20445	17985
532	20477	17942
533	20511	17899
534	20542	17854
535	20575	17811
536	20606	17766
537	20641	17725
538	20672	17680
539	20704	17637
540	20736	17593
541	20770	17551
542	20803	17508
543	20836	17465
544	20868	17422
545	20901	17379
546	20932	17335
547	20966	17293
548	20999	17251
549	21033	17209
550	21068	17168
551	21100	17125
552	21133	17082
553	21167	17040
554	21198	16997
555	21230	16954
556	21262	16910
557	21293	16866
558	21327	16825
559	21363	16785
560	21402	16747
561	21445	16713
562	21488	16679
563	21528	16642
564	21566	16604
565	21604	16565
566	21638	16524
567	21671	16482
568	21704	16440
569	21737	16398
570	21770	16356
571	21805	16315
572	21840	16275
573	21874	16234
574	21907	16192
575	21940	16150
576	21972	16108
577	22005	16066
578	22039	16025
579	22072	15983
580	22105	15942
581	22137	15899
582	22171	15858
583	22203	15815
584	22235	15773
585	22270	15734
586	22305	15693
587	22354	15663
588	22387	15621
589	22421	15581
590	22454	15539
591	22488	15498
592	22521	15457
593	22555	15416
594	22595	15380
595	22636	15344
596	22680	15310
597	22727	15278
598	22769	15243
599	22805	15203
600	22842	15165
601	22875	15123
602	22914	15086
603	22948	15045
604	22982	15005
605	23016	14964
606	23051	14924
607	23086	14884
608	23121	14844
609	23153	14803
610	23186	14761
611	23219	14720
612	23254	14680
613	23286	14639
614	23318	14597
615	23351	14557
616	23384	14515
617	23417	14474
618	23450	14433
619	23482	14392
620	23515	14351
621	23550	14312
622	23583	14270
623	23621	14233
624	23656	14193
625	23691	14154
626	23724	14113
627	23758	14073
628	23791	14032
629	23828	13994
630	23877	13963
631	23917	13926
632	23960	13891
633	24001	13855
634	24038	13817
635	24072	13777
636	24104	13736
637	24136	13695
638	24169	13654
639	24202	13613
640	24234	13573
641	24268	13533
642	24301	13492
643	24334	13452
644	24369	13412
645	24403	13373
646	24437	13332
647	24471	13293
648	24503	13252
649	24536	13211
650	24595	13185
651	24647	13155
652	24682	13116
653	24714	13075
654	24747	13035
655	24780	12994
656	24812	12953
657	24846	12914
658	24878	12873
659	24910	12832
660	24942	12791
661	24974	12751
662	25008	12711
663	25045	12673
664	25080	12634
665	25125	12600
666	25169	12565
667	25213	12531
668	25249	12492
669	25283	12452
670	25315	12412
671	25347	12372
672	25380	12331
673	25411	12291
674	25447	12252
675	25480	12212
676	25513	12172
677	25545	12132
678	25577	12091
679	25608	12051
680	25644	12012
681	25676	11972
682	25710	11932
683	25741	11892
684	25773	11852
685	25804	11811
686	25837	11771
687	25869	11731
688	25901	11691
689	25934	11651
690	25967	11612
691	25998	11571
692	26030	11531
693	26061	11491
694	26094	11451
695	26126	11411
696	26155	11370
697	26186	11330
698	26219	11290
699	26256	11252
700	26292	11214
701	26334	11179
702	26378	11144
703	26417	11107
704	26457	11070
705	26491	11031
706	26526	10993
707	26559	10953
708	26592	10914
709	26623	10874
710	26654	10834
711	26686	10794
712	26720	10755
713	26753	10716
714	26784	10676
715	26816	10636
716	26850	10597
717	26882	10558
718	26916	10519
719	26948	10479
720	26981	10440
721	27014	10401
722	27045	10361
723	27077	10322
724	27110	10283
725	27142	10243
726	27177	10205
727	27208	10165
728	27241	10126
729	27273	10087
730	27306	10048
731	27339	10009
732	27370	9969
733	27402	9930
734	27434	9891
735	27466	9852
736	27501	9813
737	27538	9776
738	27577	9739
739	27621	9704
740	27664	9669
741	27706	9633
742	27742	9596
743	27776	9557
744	27809	9518
745	27842	9479
746	27876	9441
747	27909	9402
748	27942	9363
749	27975	9325
750	28008	9286
751	28041	9247
752	28073	9208
753	28105	9169
754	28138	9131
755	28171	9092
756	28204	9053
757	28238	9015
758	28270	8976
759	28304	8938
760	28335	8899
761	28367	8860
762	28401	8821
763	28434	8783
764	28466	8744
765	28498	8705
766	28530	8667
767	28562	8628
768	28593	8589
769	28645	8556
770	28679	8518
771	28718	8481
772	28755	8444
773	28795	8407
774	28840	8372
775	28881	8336
776	28918	8299
777	28952	8261
778	28984	8222
779	29017	8184
780	29047	8145
781	29079	8106
782	29109	8067
783	29143	8029
784	29174	7990
785	29209	7952
786	29243	7914
787	29286	7879
788	29326	7842
789	29359	7804
790	29393	7766
791	29430	7729
792	29461	7690
793	29491	7651
794	29522	7612
795	29555	7574
796	29588	7536
797	29620	7498
798	29652	7459
799	29685	7421
800	29718	7383
801	29754	7345
802	29788	7307
803	29823	7270
804	29854	7231
805	29886	7193
806	29922	7156
807	29957	7118
808	29999	7082
809	30041	7046
810	30082	7010
811	30120	6973
812	30156	6936
813	30190	6898
814	30225	6860
815	30258	6822
816	30289	6784
817	30320	6746
818	30353	6708
819	30384	6669
820	30416	6631
821	30449	6593
822	30482	6555
823	30514	6517
824	30545	6479
825	30578	6441
826	30612	6403
827	30644	6365
828	30679	6328
829	30711	6290
830	30742	6252
831	30774	6214
832	30806	6176
833	30839	6138
834	30870	6100
835	30902	6062
836	30936	6024
837	30966	5986
838	30997	5948
839	31028	5910
840	31061	5872
841	31094	5834
842	31129	5797
843	31163	5760
844	31204	5723
845	31246	5687
846	31288	5651
847	31327	5615
848	31363	5578
849	31397	5540
850	31430	5503
851	31462	5465
852	31493	5427
853	31524	5389
854	31556	5351
855	31587	5313
856	31618	5275
857	31649	5238
858	31684	5200
859	31717	5163
860	31751	5125
861	31782	5088
862	31813	5050
863	31844	5012
864	31875	4974
865	31909	4937
866	31941	4899
867	31974	4862
868	32006	4824
869	32037	4787
870	32070	4749
871	32105	4712
872	32139	4675
873	32175	4638
874	32207	4601
875	32240	4563
876	32272	4526
877	32302	4488
878	32335	4451
879	32368	4413
880	32403	4376
881	32442	4340
882	32482	4304
883	32525	4267
884	32566	4231
885	32602	4194
886	32638	4157
887	32669	4120
888	32703	4083
889	32736	4046
890	32769	4008
891	32801	3971
892	32833	3934
893	32863	3896
894	32897	3859
895	32930	3822
896	32962	3784
897	32993	3747
898	33025	3710
899	33058	3673
900	33090	3635
901	33124	3598
902	33162	3562
903	33199	3525
904	33235	3488
905	33270	3451
906	33307	3415
907	33342	3378
908	33373	3341
909	33406	3303
910	33437	3266
911	33470	3229
912	33502	3192
913	33533	3155
914	33566	3118
915	33601	3081
916	33639	3044
917	33680	3008
918	33722	2972
919	33762	2935
920	33802	2899
921	33838	2862
922	33870	2825
923	33903	2788
924	33937	2751
925	33969	2714
926	34003	2677
927	34035	2640
928	34066	2603
929	34101	2566
930	34131	2529
931	34165	2492
932	34199	2455
933	34233	2419
934	34265	2382
935	34297	2345
936	34331	2308
937	34365	2271
938	34399	2234
939	34432	2197
940	34464	2160
941	34495	2123
942	34527	2087
943	34558	2050
944	34590	2013
945	34623	1976
946	34654	1939
947	34686	1902
948	34718	1865
949	34749	1828
950	34783	1792
951	34820	1755
952	34859	1719
953	34902	1682
954	34940	1646
955	34984	1610
956	35019	1573
957	35053	1536
958	35085	1500
959	35118	1463
960	35150	1426
961	35181	1389
962	35214	1352
963	35250	1316
964	35283	1279
965	35316	1243
966	35351	1206
967	35384	1169
968	35421	1133
969	35455	1096
970	35491	1059
971	35526	1023
972	35560	986
973	35595	950
974	35630	913
975	35665	877
976	35699	840
977	35734	803
978	35766	767
979	35800	730
980	35833	694
981	35867	657
982	35900	620
983	35933	584
984	35966	547
985	36002	511
986	36041	474
987	36081	438
988	36124	401
989	36167	365
990	36211	328
991	36248	292
992	36283	255
993	36317	219
994	36351	182
995	36385	146
996	36420	109
997	36453	73
998	36486	36
999	36520	0
