iter	Logloss
0	0.6790440846
1	0.6664736685
2	0.6554552674
3	0.6448966321
4	0.6355207259
5	0.6276449149
6	0.6200135002
7	0.612825536
8	0.6066609831
9	0.6012975921
10	0.5961047043
11	0.5911667187
12	0.5864737988
13	0.5817386299
14	0.5775094494
15	0.5736130283
16	0.5700687644
17	0.5663851633
18	0.5629727296
19	0.559400462
20	0.5560925844
21	0.5531441541
22	0.5499256007
23	0.5469653895
24	0.5441199569
25	0.5413750151
26	0.5387791081
27	0.5363929103
28	0.5341520781
29	0.5318479993
30	0.5297652243
31	0.5274617841
32	0.525301237
33	0.5232154422
34	0.5214092547
35	0.5194436847
36	0.5176925594
37	0.5158988935
38	0.5141514525
39	0.5124844496
40	0.510840845
41	0.5091534719
42	0.5077655226
43	0.5062394893
44	0.5048576354
45	0.5033378538
46	0.5018474392
47	0.5004647229
48	0.4991262193
49	0.4978164623
50	0.4965462755
51	0.4954533859
52	0.4942847945
53	0.4932039406
54	0.4920820216
55	0.4908671999
56	0.4898467131
57	0.4889067682
58	0.4879722946
59	0.4869913835
60	0.4859754619
61	0.4850691227
62	0.4840395604
63	0.4831685057
64	0.4822487792
65	0.4814983028
66	0.480760717
67	0.4800286204
68	0.4792168908
69	0.47843023
70	0.4775876845
71	0.4768045019
72	0.4759991064
73	0.4752074967
74	0.4744779563
75	0.4737253334
76	0.4730969047
77	0.4724253809
78	0.4718345527
79	0.4711125646
80	0.4704871983
81	0.4698042025
82	0.469066165
83	0.4684099592
84	0.4678095875
85	0.4672048654
86	0.466517159
87	0.4658999118
88	0.4652547183
89	0.4647185436
90	0.4642048208
91	0.4637204579
92	0.4632321887
93	0.4627099064
94	0.4621214831
95	0.4615210804
96	0.4610181245
97	0.4605133992
98	0.4600566598
99	0.4595673078
100	0.459098913
101	0.4586476088
102	0.4581829179
103	0.4577350445
104	0.4571876002
105	0.4567376629
106	0.4563125258
107	0.4559042031
108	0.4554697545
109	0.4550163219
110	0.454626945
111	0.4542042556
112	0.453781813
113	0.4533916571
114	0.4529599052
115	0.4525917343
116	0.4521927256
117	0.4518178871
118	0.4513528299
119	0.4510003658
120	0.4506251041
121	0.4501923625
122	0.4498020066
123	0.4494767483
124	0.4491201116
125	0.448772642
126	0.448434132
127	0.4480601774
128	0.4477238247
129	0.4474112354
130	0.4470998588
131	0.4467804311
132	0.4464367019
133	0.4460899269
134	0.4457707583
135	0.4454477397
136	0.4450802449
137	0.4447698206
138	0.4444389936
139	0.4440886745
140	0.4438276656
141	0.4435037569
142	0.4431916888
143	0.4428872831
144	0.4426289568
145	0.4423192582
146	0.4420168198
147	0.4417220058
148	0.4414250243
149	0.441140146
150	0.4408742826
151	0.4406151048
152	0.4403143972
153	0.4400390009
154	0.4397584559
155	0.4394978518
156	0.439227194
157	0.4388550785
158	0.4385896954
159	0.4383615328
160	0.4381168725
161	0.4378531232
162	0.4376043399
163	0.4373711824
164	0.4371302575
165	0.4368823839
166	0.4366436759
167	0.4364252588
168	0.4361717818
169	0.435973384
170	0.4357146926
171	0.4354693113
172	0.4352432854
173	0.4350086404
174	0.4347790073
175	0.4345679761
176	0.4343457137
177	0.4341371479
178	0.4339185308
179	0.4337338005
180	0.4335154202
181	0.4332947472
182	0.4330836152
183	0.4328925058
184	0.4326608188
185	0.4324403804
186	0.4322144543
187	0.4319991041
188	0.431785253
189	0.4315615626
190	0.431343341
191	0.4311602568
192	0.4309683309
193	0.4307834373
194	0.4305978249
195	0.4303942122
196	0.4302056253
197	0.4300132676
198	0.4297997182
199	0.4296430334
200	0.4294242763
201	0.4292295678
202	0.4290570807
203	0.428878185
204	0.4286974675
205	0.4285002864
206	0.4283261478
207	0.4281278176
208	0.4279605959
209	0.4277980222
210	0.4276248066
211	0.4274603356
212	0.4272707267
213	0.4270870669
214	0.4269329985
215	0.4267701769
216	0.4265984152
217	0.4264340131
218	0.4262752351
219	0.4260890092
220	0.4259199464
221	0.4257356467
222	0.4255568757
223	0.4253871645
224	0.4252213431
225	0.4250664869
226	0.4248963369
227	0.4247311241
228	0.4245493553
229	0.4243744799
230	0.4242116073
231	0.4240615836
232	0.4239018524
233	0.4237539536
234	0.4236059188
235	0.4234551456
236	0.4233093457
237	0.4231405031
238	0.4229879361
239	0.422831152
240	0.4226596241
241	0.422505018
242	0.4223556873
243	0.4222107302
244	0.4220618239
245	0.4219071975
246	0.4217381119
247	0.4215724823
248	0.4214180655
249	0.421262867
250	0.4210953255
251	0.4209507167
252	0.4208075865
253	0.4206569331
254	0.4204934328
255	0.420343169
256	0.4202045578
257	0.4200609609
258	0.4199011913
259	0.4197637918
260	0.419617038
261	0.4194695221
262	0.4193238648
263	0.419188739
264	0.4190445722
265	0.4189029615
266	0.4187623432
267	0.4186168142
268	0.4184743086
269	0.4183300689
270	0.4181917352
271	0.4180623562
272	0.4179199056
273	0.4177768102
274	0.4176442137
275	0.4174994684
276	0.4173452147
277	0.4172181829
278	0.4170887049
279	0.4169513514
280	0.416810156
281	0.4166729934
282	0.4165324943
283	0.4164000386
284	0.4162696669
285	0.4161534901
286	0.4160212561
287	0.4158860922
288	0.4157476782
289	0.4156149482
290	0.4154871295
291	0.4153545576
292	0.4152162484
293	0.4150903996
294	0.4149572458
295	0.4148240491
296	0.4146965869
297	0.414575714
298	0.414453569
299	0.4143267071
300	0.4142078116
301	0.4140818728
302	0.4139600362
303	0.4138376417
304	0.4137143474
305	0.4135902763
306	0.4134578373
307	0.4133356221
308	0.4132114422
309	0.413084571
310	0.4129666004
311	0.4128519852
312	0.4127324839
313	0.4126165695
314	0.4124968325
315	0.4123952865
316	0.4122797435
317	0.4121612386
318	0.4120501261
319	0.4119317312
320	0.4118114392
321	0.4116961254
322	0.4115802966
323	0.4114638169
324	0.4113478372
325	0.4112397304
326	0.4111186413
327	0.4110130545
328	0.4109004621
329	0.4107923225
330	0.4106702314
331	0.4105561636
332	0.4104546021
333	0.4103365317
334	0.4102219966
335	0.4101094206
336	0.4099954609
337	0.4098785346
338	0.4097673035
339	0.4096617661
340	0.4095558549
341	0.4094505624
342	0.409346986
343	0.409232253
344	0.4091197385
345	0.4090137807
346	0.4089225788
347	0.4088139019
348	0.4087182823
349	0.4086085773
350	0.4085040152
351	0.4083950243
352	0.4083002135
353	0.4081884108
354	0.4080810323
355	0.4079599177
356	0.4078682299
357	0.407758727
358	0.4076604909
359	0.4075576753
360	0.4074559959
361	0.4073611756
362	0.4072639928
363	0.4071618806
364	0.4070432622
365	0.4069396834
366	0.4068410239
367	0.4067313769
368	0.4066273373
369	0.4065280484
370	0.4064306509
371	0.4063229316
372	0.4062199612
373	0.4061123156
374	0.4060099789
375	0.4059129079
376	0.4058145762
377	0.4057174348
378	0.4056147139
379	0.4055192727
380	0.4054304995
381	0.4053359708
382	0.4052426718
383	0.4051407366
384	0.4050403814
385	0.4049379961
386	0.4048469283
387	0.4047514195
388	0.4046240218
389	0.4045405928
390	0.4044487613
391	0.4043660357
392	0.404285513
393	0.4041895125
394	0.4040939732
395	0.404014601
396	0.4039188056
397	0.4038299771
398	0.403743335
399	0.4036486798
400	0.4035573841
401	0.4034666166
402	0.4033737945
403	0.4032849789
404	0.403195586
405	0.4031069479
406	0.4030279215
407	0.4029430359
408	0.4028639266
409	0.4027802102
410	0.4026917253
411	0.4025990417
412	0.4025176659
413	0.4024284579
414	0.4023423723
415	0.4022454731
416	0.4021621201
417	0.4020805169
418	0.4019925037
419	0.4019102312
420	0.4018328053
421	0.4017451689
422	0.4016633184
423	0.4015725618
424	0.401500491
425	0.4014087394
426	0.4013233903
427	0.4012394817
428	0.4011564489
429	0.401066659
430	0.4009779468
431	0.4008833013
432	0.4007975518
433	0.4007138007
434	0.4006272565
435	0.4005347843
436	0.4004490665
437	0.4003705203
438	0.4002839764
439	0.4002076764
440	0.4001122983
441	0.4000304963
442	0.3999482449
443	0.3998629879
444	0.3997795761
445	0.3997004129
446	0.3996124371
447	0.3995271772
448	0.3994456267
449	0.3993602937
450	0.3992858074
451	0.3992059422
452	0.3991248545
453	0.3990310812
454	0.3989525161
